TF	target	tissue
AR	ALOXE3	prostate,kidney
AR	HES7	kidney,prostate
AR	MIR6883	other,kidney,cervix,breast,prostate
AR	VAMP2	kidney,prostate
AR	RP11-599B13.6	cervix,breast,kidney,prostate,other
AR	AC129492.1	prostate
AR	C17orf59	prostate
AR	USP43	other,prostate,breast,kidney,cervix
AR	RPL21P122	prostate,cervix,kidney
AR	ZNF624	cervix,prostate
AR	RP11-92B11.4	cervix,prostate
AR	RAI1	cervix,breast,prostate,kidney
AR	EPN2	breast,cervix,other,prostate,kidney
AR	AC004702.2	breast,cervix,prostate,other,kidney
AR	SPECC1	prostate,breast,cervix,other,kidney
AR	RP11-6N17.2	breast,prostate,other,kidney,cervix
AR	RP11-1079K10.4	kidney,cervix,other,prostate,breast
AR	TOB1-AS1	other,prostate,kidney,breast,cervix
AR	RP11-700H6.4	breast,cervix,prostate,kidney
AR	TMEM100	prostate,other,breast,kidney,cervix
AR	ANKFN1	prostate,breast,kidney,cervix,other
AR	C17orf67	cervix,kidney,prostate,other,breast
AR	MIR4729	prostate,kidney
AR	ERN1	cervix,prostate,kidney,breast,other
AR	AC006947.1	breast,prostate,other,kidney,cervix
AR	SLC16A6	prostate,kidney,breast,cervix
AR	ARSG	cervix,kidney,breast,prostate
AR	C1QTNF1	kidney,cervix,prostate
AR	BAIAP2	kidney,cervix,breast,other,prostate
AR	DUS1L	breast,cervix,kidney,other,prostate
AR	ASB13	breast,kidney,prostate,cervix
AR	RP11-142M10.2	kidney,other,cervix,prostate
AR	LINC00844	cervix,other,breast,prostate,kidney
AR	CCDC6	cervix,other,breast,kidney,prostate
AR	CDH23-AS1	cervix,other,kidney,prostate,breast
AR	RP11-222G7.2	breast,prostate,cervix,other,kidney
AR	RP11-77G23.5	kidney,prostate
AR	PIK3AP1	kidney,other,cervix,prostate
AR	WBP1L	kidney,prostate,cervix,breast,other
AR	ITPRIP	prostate,breast,cervix,other,kidney
AR	GUCY2GP	prostate,cervix,kidney,other
AR	CTBP1	cervix,kidney,other,prostate,breast
AR	KIAA1211	kidney,cervix,other,prostate
AR	G3BP2	cervix,breast,kidney,prostate
AR	MIR4450	kidney,prostate,breast,other,cervix
AR	RP11-597D13.9	cervix,other,prostate,breast
AR	FAM198B	cervix,prostate,breast
AR	EVA1C	kidney,breast,other,prostate,cervix
AR	PDE9A	kidney,other,prostate,cervix
AR	UBE2G2	other,breast,prostate,cervix
AR	SKI	cervix,other,prostate,breast,kidney
AR	PEX10	cervix,kidney,prostate,breast
AR	GPR153	breast,cervix,prostate,kidney
AR	ACOT7	prostate,kidney,cervix,breast
AR	RERE	breast,cervix,prostate,kidney,other
AR	RP5-1115A15.1	breast,other,prostate,cervix,kidney
AR	TMEM201	breast,kidney,cervix,prostate
AR	VPS13D	prostate,breast,kidney,other,cervix
AR	MAP3K6	other,kidney,prostate,breast,cervix
AR	UBE2V2P4	breast,cervix,kidney,prostate
AR	EDN2	breast,prostate,kidney,cervix,other
AR	RP4-700A9.1	kidney,breast,prostate,cervix,other
AR	BCAR3	kidney,breast,prostate,other,cervix
AR	PGCP1	breast,prostate,other,cervix,kidney
AR	RP4-655J12.4	other,prostate,cervix,kidney
AR	HMGCS2	kidney,breast,other,cervix,prostate
AR	RP11-315I20.3	kidney,other,prostate,cervix,breast
AR	ADAMTSL4	kidney,prostate,breast
AR	RP11-54A4.2	prostate,breast,kidney,cervix
AR	ADAMTSL4-AS1	other,breast,kidney,cervix,prostate
AR	Metazoa_SRP	other,prostate,kidney,breast,cervix
AR	Metazoa_SRP	kidney,breast,cervix,prostate,other
AR	TCHHL1	prostate,cervix
AR	EFNA1	breast,other,kidney,prostate,cervix
AR	RP11-284F21.8	kidney,breast,cervix,other,prostate
AR	RP11-284F21.11	cervix,kidney,prostate,breast,other
AR	FCRLB	cervix,prostate,kidney
AR	DUSP27	kidney,prostate,other,cervix,breast
AR	CREG1	prostate,other,cervix,breast,kidney
AR	GPR161	cervix,prostate,kidney,breast
AR	SLC19A2	prostate,breast,kidney,cervix
AR	RP1-206D15.6	kidney,breast,cervix,prostate
AR	GLUL	cervix,breast,prostate,other,kidney
AR	ETNK2	other,kidney,prostate,breast,cervix
AR	PLEKHA6	breast,prostate,kidney,other,cervix
AR	RP11-739N20.2	breast,prostate,cervix,kidney,other
AR	C1orf116	breast,kidney,prostate,cervix
AR	PFKFB2	prostate,kidney,breast,other,cervix
AR	MARC1	cervix,breast,prostate,kidney
AR	ARF1	prostate,breast,cervix
AR	RP11-443B7.1	other,prostate,cervix,kidney,breast
AR	GGT1	other,breast,prostate,cervix,kidney
AR	ASCC2	breast,cervix,kidney,prostate
AR	GATSL3	breast,other,cervix,kidney,prostate
AR	RNF215	cervix,prostate,kidney,other,breast
AR	MB	other,cervix,breast,prostate,kidney
AR	DMC1	kidney,prostate,breast,other,cervix
AR	SUN2	prostate,breast,cervix,kidney
AR	GRAP2	other,kidney,prostate,breast,cervix
AR	TNRC6B	breast,cervix,prostate,kidney,other
AR	PACSIN2	other,cervix,kidney,breast,prostate
AR	TTLL12	breast,kidney,prostate,other,cervix
AR	RP6-109B7.4	prostate,breast,kidney,other,cervix
AR	PLCB4	breast,kidney,cervix,other,prostate
AR	RP5-965G21.6	prostate,kidney
AR	COMMD7	breast,prostate,cervix
AR	RP4-785G19.2	cervix,kidney,prostate,other
AR	ASIP	breast,prostate,kidney,other,cervix
AR	CTNNBL1	cervix,other,kidney,prostate,breast
AR	TTI1	cervix,kidney,breast,prostate,other
AR	RP5-1057B20.3	prostate,other,cervix,kidney,breast
AR	WISP2	kidney,cervix,breast,prostate,other
AR	RP4-569M23.5	kidney,prostate,cervix,breast,other
AR	ZMYND8	kidney,other,prostate,breast,cervix
AR	RP5-827A12.2	kidney,prostate,breast
AR	GABRB3	cervix,kidney,breast,other,prostate
AR	DUOX1	cervix,prostate,other,kidney
AR	MAPK6	cervix,kidney,other,prostate,breast
AR	CTD-2515H24.4	kidney,prostate,other,cervix
AR	RP11-219B17.2	cervix,other,kidney,prostate
AR	ANP32A	prostate,other,kidney,cervix,breast
AR	RP11-2I17.4	other,breast,kidney,prostate,cervix
AR	GRAMD2	kidney,cervix,breast,other,prostate
AR	BBS4	kidney,cervix,prostate,breast,other
AR	ARID3B	other,breast,cervix,prostate,kidney
AR	SNX33	prostate,breast,cervix,kidney,other
AR	IMP3	prostate,breast,cervix,other,kidney
AR	HMGB1P8	other,breast,prostate,cervix,kidney
AR	ANPEP	prostate,breast,kidney,other,cervix
AR	FAM174B	cervix,kidney,prostate,breast
AR	IGF1R	kidney,prostate,cervix,other,breast
AR	LINC00540	kidney,cervix,prostate,breast
AR	RPLP1P13	kidney,prostate,cervix
AR	SACS	kidney,prostate,cervix
AR	FLT1	prostate,kidney,other,cervix
AR	EEF1DP3	other,prostate,cervix,kidney
AR	STARD13-AS	breast,prostate,kidney,cervix
AR	ELF1	cervix,prostate,other,kidney,breast
AR	WBP4	other,prostate,breast,kidney,cervix
AR	TPT1	cervix,breast,prostate
AR	RP11-290D2.6	cervix,prostate,breast
AR	TPT1-AS1	cervix,breast,prostate
AR	COL4A2	cervix,breast,other,kidney,prostate
AR	AC079779.4	kidney,prostate,cervix
AR	FAM150B	kidney,cervix,prostate
AR	GREB1	cervix,breast,prostate,other,kidney
AR	MIR4429	kidney,prostate
AR	SLC8A1-AS1	breast,prostate,cervix,other,kidney
AR	RN7SL297P	other,cervix,prostate,kidney
AR	AC012442.5	kidney,prostate,other,breast,cervix
AR	TMEM163	kidney,cervix,prostate,breast,other
AR	AC104777.4	breast,other,cervix,kidney,prostate
AR	BTF3L4P2	breast,cervix,prostate
AR	EIF3EP2	prostate,cervix,other
AR	MYO1B	kidney,cervix,breast,prostate
AR	AC092614.2	cervix,kidney,breast,prostate
AR	MIR1302-4	kidney,other,prostate,breast,cervix
AR	AC114814.4	cervix,kidney,other,prostate
AR	PER2	other,breast,cervix,kidney,prostate
AR	AC012485.2	kidney,breast,cervix,prostate
AR	NARFL	prostate,breast,cervix,kidney,other
AR	LA16c-395F10.1	prostate,cervix,breast
AR	NTHL1	prostate,breast,cervix,kidney
AR	MIR6769A	cervix,prostate,kidney,other,breast
AR	METTL9	breast,other,cervix,prostate,kidney
AR	POLR3E	breast,other,cervix,prostate
AR	UBFD1	cervix,other,prostate
AR	TOX3	breast,kidney,cervix,prostate
AR	MT1X	breast,prostate,cervix,kidney
AR	RP11-343H19.2	breast,cervix,prostate,kidney
AR	ESRP2	kidney,cervix,breast,prostate
AR	FBXO31	cervix,kidney,prostate
AR	KCNQ1	other,breast,kidney,cervix,prostate
AR	SLC22A18AS	kidney,breast,prostate,cervix
AR	OSBPL5	breast,prostate,cervix,kidney
AR	GALNT18	prostate,breast,other,cervix,kidney
AR	MICAL2	breast,prostate,kidney,other,cervix
AR	NUCB2	prostate,kidney,cervix,other,breast
AR	ABCC8	breast,cervix,kidney,other,prostate
AR	EHF	cervix,kidney,other,breast,prostate
AR	PTPRJ	other,prostate,breast,kidney,cervix
AR	NEAT1	kidney,prostate,breast
AR	NEAT1_1	prostate,kidney,breast
AR	NEAT1_2	breast,prostate,kidney
AR	NEAT1_3	breast,prostate,kidney
AR	SLC29A2	breast,other,kidney,cervix,prostate
AR	Metazoa_SRP	prostate
AR	CTD-2530H12.5	other,cervix,prostate,breast,kidney
AR	TSKU	breast,prostate,kidney,other,cervix
AR	RP11-21L23.3	prostate,cervix,breast,kidney
AR	AP006216.5	breast,prostate,cervix,kidney
AR	RP11-664I21.5	cervix,kidney,prostate
AR	ADAMTS8	breast,other,cervix,prostate,kidney
AR	ACAD8	prostate,kidney,breast,other,cervix
AR	SLC7A2	prostate,kidney,cervix
AR	TNFRSF10B	prostate,kidney,other,cervix
AR	CHRNA2	cervix,prostate,kidney,breast,other
AR	AGPAT6	prostate,kidney,breast,cervix,other
AR	TPD52	cervix,breast,other,prostate,kidney
AR	RP11-26J3.4	prostate,kidney,cervix,other,breast
AR	RP11-92K15.1	other,prostate,kidney,breast,cervix
AR	WWP1	kidney,cervix,other,breast,prostate
AR	DECR1	prostate,other,breast,kidney,cervix
AR	NBN	cervix,breast,kidney,other,prostate
AR	RPL19P14	prostate,other,breast,cervix,kidney
AR	MED30	breast,cervix,prostate,other,kidney
AR	PVT1	kidney,other,prostate,breast,cervix
AR	MIR1208	breast,other,prostate,cervix,kidney
AR	TG	cervix,breast,kidney,prostate
AR	PTP4A3	cervix,kidney,other,prostate
AR	OPLAH	cervix,prostate,kidney,breast
AR	RP11-47I22.1	breast,other,kidney,cervix,prostate
AR	ACTN1	prostate,cervix,kidney,other
AR	PSEN1	prostate,breast,other,cervix,kidney
AR	TTLL5	kidney,other,cervix,prostate,breast
AR	RP11-356K23.1	prostate,cervix,kidney,other,breast
AR	FOXN3	other,prostate,cervix,kidney,breast
AR	CCDC88C	cervix,kidney,breast,prostate,other
AR	NPR2	breast,cervix,other,prostate,kidney
AR	MTND2P11	other,breast,prostate,cervix,kidney
AR	PHF19	cervix,kidney,other,breast,prostate
AR	RBM18	kidney,prostate,cervix,breast,other
AR	FAM129B	prostate,other,kidney,breast,cervix
AR	TMEM210	breast,cervix,prostate
AR	C9orf173	kidney,prostate,cervix
AR	ARRDC1	kidney,cervix,prostate,breast
AR	LINC00940	prostate,breast,cervix,other
AR	RP1-96H9.5	breast,prostate,kidney
AR	SCNN1A	breast,cervix,prostate,kidney
AR	LTBR	breast,prostate,cervix,kidney
AR	RP11-158N24.1	cervix,breast,prostate,kidney
AR	FGD4	other,breast,kidney,cervix,prostate
AR	CSAD	prostate,other,cervix,breast,kidney
AR	CRADD	prostate,breast,other,cervix,kidney
AR	MIR5700	breast,cervix,kidney,prostate,other
AR	NTN4	kidney,breast,prostate,cervix
AR	SETD8	other,kidney,prostate,cervix
AR	RP11-417L19.5	kidney,breast,cervix,prostate
AR	GOLGA3	cervix,prostate,breast
AR	RP11-715I4.1	cervix,prostate,other,kidney
AR	VILL	prostate,kidney,breast,cervix
AR	SEC22C	prostate,cervix,kidney,other,breast
AR	LARS2	breast,cervix,prostate,other
AR	SCAP	prostate,breast,cervix,kidney
AR	ZNF589	other,cervix,prostate,kidney
AR	PRKCD	kidney,prostate,other,cervix,breast
AR	CD47	kidney,prostate,cervix,breast
AR	PDIA5	prostate,cervix,other,kidney,breast
AR	RP11-71E19.1	other,kidney,cervix,prostate
AR	KLF15	kidney,other,prostate,breast,cervix
AR	RUVBL1	prostate,breast,kidney,cervix,other
AR	PXYLP1	kidney,prostate,cervix,breast
AR	GYG1	kidney,other,breast,prostate,cervix
AR	DHX36	breast,prostate,kidney,other,cervix
AR	GMPS	kidney,cervix,prostate
AR	TIPARP-AS1	breast,cervix,other,prostate,kidney
AR	TIPARP	kidney,prostate,other,cervix,breast
AR	RP11-6F2.5	other,kidney,prostate,cervix,breast
AR	LINC00880	cervix,other,kidney,breast,prostate
AR	ASS1P7	prostate,kidney,cervix
AR	MCCC1	kidney,prostate,cervix,breast
AR	CTC-537E7.2	prostate,kidney,cervix,other,breast
AR	ARHGEF28	kidney,prostate,cervix,breast,other
AR	ZBED3-AS1	cervix,prostate,breast,other,kidney
AR	CTC-458I2.2	prostate,cervix,other
AR	CTC-303L1.2	cervix,kidney,prostate,breast
AR	ANKRD32	cervix,breast,prostate,kidney
AR	KIAA0825	kidney,breast,prostate,cervix
AR	RFESD	breast,cervix,prostate,kidney,other
AR	LINC01554	prostate,other,breast,cervix,kidney
AR	HSD17B4	kidney,breast,prostate,cervix,other
AR	CTNNA1	breast,kidney,prostate,cervix
AR	PCDH1	breast,kidney,prostate,cervix
AR	ARHGAP26	kidney,prostate,other,cervix,breast
AR	NDST1	prostate,breast,kidney,cervix
AR	TBC1D9B	kidney,breast,other,cervix,prostate
AR	RP11-252I14.2	prostate
AR	TRIM52-AS1	breast,prostate,other,kidney,cervix
AR	RREB1	prostate,breast,cervix,kidney,other
AR	LINC00336	breast,prostate,other,kidney,cervix
AR	UQCC2	kidney,other,prostate,cervix,breast
AR	FKBP5	prostate,breast,cervix,kidney,other
AR	RP3-510O8.4	prostate,cervix,kidney
AR	ARMC12	prostate,breast,kidney,cervix,other
AR	CLPSL2	other,prostate,cervix,kidney,breast
AR	CLPSL1	other,prostate,breast,kidney,cervix
AR	TFEB	other,cervix,kidney,prostate
AR	PGC	other,breast,prostate,kidney,cervix
AR	RP3-475N16.1	breast,other,cervix,kidney,prostate
AR	RPL35P3	breast,other,prostate,cervix,kidney
AR	RP1-134E15.3	other,prostate,kidney,cervix
AR	RPL21P65	cervix,kidney,prostate,other
AR	CITED2	cervix,other,kidney,breast,prostate
AR	PHF8	cervix,breast,kidney,other,prostate
AR	SUN1	breast,cervix,prostate
AR	MIR589	other,breast,cervix,prostate
AR	AC003090.1	other,kidney,prostate,cervix,breast
AR	INMT	cervix,kidney,breast,prostate
AR	INMT-FAM188B	prostate,cervix,breast,kidney
AR	AC017116.11	prostate,cervix
AR	IGFBP3	cervix,breast,prostate
AR	CTA-315H11.2	other,prostate,breast,cervix
AR	LAT2	kidney,prostate,other,cervix
AR	ZNF394	cervix,breast,prostate
AR	MCM7	cervix,prostate,kidney
AR	AP4M1	cervix,kidney,prostate
AR	ATXN7L1	kidney,prostate,cervix,breast,other
AR	ST7	cervix,breast,kidney,prostate
AR	TSPAN33	kidney,other,prostate,breast,cervix
AR	MKLN1	other,prostate,breast,cervix,kidney
AR	LINC-PINT	cervix,prostate,other,kidney,breast
AR	ZC3HAV1	kidney,cervix,prostate,other
AR	EPHB6	cervix,breast,prostate
AR	TCEB1P28	other,cervix,kidney,breast,prostate
AR	AC010649.1	other,kidney,prostate,breast,cervix
AR	SAFB2	other,prostate,kidney,cervix
AR	SAFB	prostate,cervix,kidney,other
AR	SIN3B	cervix,prostate,other
AR	CTB-52I2.4	other,breast,prostate,kidney,cervix
AR	GDF15	kidney,breast,prostate,cervix
AR	CRTC1	kidney,breast,cervix,prostate,other
AR	HPN	breast,prostate,cervix,kidney
AR	GAPDHS	kidney,cervix,prostate,other
AR	PSMD8	prostate,cervix,other,kidney,breast
AR	CNTD2	prostate,breast,cervix,kidney
AR	LIN7B	prostate,cervix,kidney
AR	MTCL1	breast,cervix,other,prostate,kidney
AR	GNAL	cervix,breast,other,prostate,kidney
AR	RP11-78A19.4	prostate,cervix,kidney
AR	LAMA3	cervix,breast,prostate,kidney
AR	RP11-326K13.4	prostate,cervix,other,breast,kidney
AR	TRAPPC8	other,breast,kidney,cervix,prostate
AR	CNDP2	prostate,kidney,cervix,breast
AR	WIPI1	kidney,breast,cervix,prostate,other
AR	CDK3	kidney,breast,cervix,prostate
AR	TEN1-CDK3	cervix,breast,prostate,kidney
AR	RN7SKP127	breast,prostate,kidney,cervix
AR	AC009133.17	other,kidney,prostate,breast,cervix
AR	C16orf54	prostate,kidney,other
AR	ST3GAL6	breast,cervix,kidney,prostate
AR	RP11-21G15.1	cervix,other,breast,prostate
AR	ANKRD29	kidney,cervix,prostate,other
AR	ALPK2	kidney,cervix,breast,other,prostate
AR	RP11-126O1.2	cervix,prostate,kidney,breast,other
AR	RP3-340B19.5	kidney,prostate,other,cervix
AR	SESN1	other,cervix,prostate,kidney,breast
AR	PHACTR4	breast,prostate,kidney,cervix,other
AR	RP4-597J3.1	kidney,prostate,cervix
AR	DNASE2B	other,breast,prostate,kidney,cervix
AR	ATP1A2	cervix,other,prostate,breast,kidney
AR	KCTD3	kidney,other,breast,prostate,cervix
AR	ASPH	other,kidney,prostate,breast,cervix
AR	LACTB2	kidney,cervix,other,prostate,breast
AR	XKR9	other,breast,cervix,kidney,prostate
AR	CTC-458A3.1	cervix,prostate,kidney,other
AR	WNK1	kidney,cervix,prostate,breast,other
AR	MYBPC1	other,kidney,cervix,prostate,breast
AR	LSM11	cervix,other,kidney,prostate
AR	VPS13C	cervix,breast,kidney,prostate,other
AR	DAPK2	kidney,prostate,other,cervix
AR	FAM96A	other,kidney,prostate,cervix
AR	RP11-66B24.9	prostate,other,cervix,breast,kidney
AR	ALDH1A3	other,cervix,breast,prostate,kidney
AR	MAP3K7CL	cervix,other,kidney,prostate
AR	PKD2	breast,kidney,prostate,cervix
AR	ADH1C	prostate,cervix,other
AR	FRMD4A	prostate,other,cervix,kidney,breast
AR	MTCH1	other,kidney,cervix,prostate
AR	SASH1	other,prostate,kidney,cervix,breast
AR	DDIAS	cervix,prostate
AR	PRCP	cervix,kidney,prostate
AR	C9orf171	kidney,cervix,other,prostate
AR	TRIP10	breast,cervix,prostate
AR	DUS4L	prostate
AR	COG5	prostate,kidney,cervix
AR	CALD1	prostate,other,breast,kidney,cervix
AR	pRNA	unclear
AR	SETD5	kidney,breast,prostate,other,cervix
AR	MBNL1	cervix,kidney,other,prostate,breast
AR	MBNL1-AS1	cervix,kidney,prostate,breast,other
AR	AC142472.6	prostate,kidney,cervix
AR	HEXIM1	prostate,kidney,cervix
AR	ALDH4A1	kidney,prostate,cervix,breast
AR	BCL9	cervix,kidney,breast,prostate
AR	ACP6	prostate,cervix
AR	SUCO	prostate,breast,cervix,kidney,other
AR	MIA3	prostate,breast,other,cervix
AR	CENPE	prostate,cervix
AR	CSNK2A1	prostate,cervix
AR	RALY	breast,cervix,prostate,kidney,other
AR	RBBP8NL	prostate,breast
AR	RP5-908M14.5	prostate,breast
AR	MAST4	prostate,cervix,other,breast,kidney
AR	ITPR1	kidney,cervix,prostate,breast
AR	LMCD1-AS1	other,breast,cervix,kidney,prostate
AR	LMCD1	kidney,cervix,prostate,other,breast
AR	SRGAP3-AS2	prostate,kidney
AR	EMC3	prostate,cervix,breast
AR	ANKRD28	cervix,other,prostate,breast,kidney
AR	TOP2B	breast,other,cervix,prostate
AR	UBE2D3P2	prostate,cervix,kidney
AR	RNU6-1301P	cervix,kidney,prostate
AR	RNA5SP129	prostate,cervix
AR	VPRBP	kidney,cervix,prostate
AR	NISCH	kidney,other,prostate,cervix,breast
AR	RNU6-108P	cervix,prostate
AR	DNAH12	cervix,prostate
AR	LRIG1	kidney,breast,cervix,prostate,other
AR	MITF	kidney,other,cervix,prostate,breast
AR	FOXP1	breast,other,kidney,prostate,cervix
AR	STX19	other,prostate,cervix,kidney
AR	NXPE3	kidney,cervix,prostate,breast
AR	PHLDB2	prostate,kidney,cervix
AR	RP11-231E6.1	prostate,cervix,breast,kidney
AR	HGD	cervix,prostate,breast
AR	CCDC58	cervix,prostate,other,breast
AR	FAM162A	breast,other,prostate,cervix
AR	ENO1P3	prostate,kidney
AR	ITGB5	breast,other,kidney,prostate,cervix
AR	EEFSEC	cervix,prostate,kidney,breast
AR	TOPBP1	breast,cervix,kidney,prostate
AR	PPP2R3A	breast,cervix,prostate,kidney
AR	RAD51AP1P1	kidney,prostate
AR	SLC25A36	cervix,prostate,kidney,breast
AR	CPHL1P	breast,cervix,other,prostate,kidney
AR	RP11-206M11.7	other,breast,cervix,prostate
AR	TM4SF18	other,prostate,cervix
AR	RP11-2G17.1	prostate
AR	TM4SF1	prostate,breast,cervix,other,kidney
AR	TM4SF1-AS1	breast,prostate,cervix,kidney
AR	RP11-278L15.2	kidney,breast,cervix,prostate
AR	WWTR1	kidney,other,breast,cervix,prostate
AR	WWTR1-AS1	cervix,other,kidney,breast,prostate
AR	ARHGEF26-AS1	prostate,cervix,kidney,breast
AR	MME	prostate,cervix,other,kidney,breast
AR	GFM1	prostate,kidney,breast,cervix
AR	RP11-379F4.7	cervix,prostate,breast
AR	RP11-379F4.6	other,prostate,cervix
AR	FNDC3B	cervix,kidney,breast,prostate
AR	AC007620.3	cervix,prostate
AR	ATP11B	prostate,kidney,cervix
AR	RP11-531F16.4	prostate
AR	THPO	breast,prostate
AR	LPP	cervix,kidney,other,prostate,breast
AR	LEPREL1	kidney,prostate,cervix
AR	APOD	other,cervix,prostate,kidney
AR	TNK2	kidney,breast,cervix,prostate
AR	PAK2	cervix,breast,prostate
AR	SHROOM2	prostate,breast,cervix
AR	RNU6-800P	prostate,kidney,cervix,breast
AR	MID1	breast,prostate,cervix,kidney
AR	TSPYL2	cervix,prostate,kidney,breast,other
AR	MIR3978	kidney,cervix,breast,other,prostate
AR	MBOAT2	cervix,kidney,prostate,other,breast
AR	AC007249.3	other,breast,kidney,cervix,prostate
AR	AC092687.5	cervix,breast,prostate
AR	RNU2-13P	kidney,cervix,breast,prostate
AR	RNA5SP85	kidney,cervix,prostate,breast
AR	KCNS3	other,cervix,prostate,kidney,breast
AR	PUM2	kidney,other,prostate,breast,cervix
AR	BIRC6	cervix,kidney,breast,prostate
AR	LTBP1	cervix,breast,prostate,kidney
AR	RNU6-951P	other,kidney,prostate,cervix,breast
AR	EML6	prostate,breast,kidney,cervix,other
AR	SPRED2	cervix,kidney,breast,prostate
AR	ANXA4	cervix,kidney,prostate,breast,other
AR	TPRKB	cervix,prostate
AR	GCFC2	cervix,breast,prostate,kidney
AR	PEBP1P2	kidney,prostate
AR	SH2D6	cervix,kidney,breast,prostate,other
AR	TBC1D8	other,kidney,breast,cervix,prostate
AR	TMEM87B	prostate,kidney,cervix,other,breast
AR	PSD4	breast,prostate,other,cervix,kidney
AR	ACTR3	breast,cervix,prostate
AR	C2orf76	prostate,kidney,breast,cervix
AR	DBI	prostate,breast,cervix,kidney
AR	SPOPL	prostate,cervix,breast
AR	LYPD6	kidney,prostate,cervix,breast
AR	AC104777.1	cervix,prostate,kidney,breast,other
