TF	target
BCOR	FZD6
BCOR	DDX25
BCOR	TMEM87B
BCOR	RP11-247C2.1
BCOR	CTD-2260A17.2
BCOR	GNB3
BCOR	HSD11B1L
BCOR	SAT1
BCOR	EIF2AK3
BCOR	MYO1G
BCOR	RP11-178L8.7
BCOR	SGSH
BCOR	CCDC121
BCOR	RTCA-AS1
BCOR	MAF
BCOR	GGCT
BCOR	SPAG6
BCOR	RP11-44M6.3
BCOR	AHCY
BCOR	PLP2
BCOR	ZNF607
BCOR	RP11-449H3.3
BCOR	TIGD5
BCOR	AGBL5-AS1
BCOR	CAMTA1
BCOR	AP003419.11
BCOR	SAMD1
BCOR	ZNF625-ZNF20
BCOR	RP11-345P4.10
BCOR	CHST10
BCOR	VAV1
BCOR	SYNJ2
BCOR	CASC10
BCOR	DNAJC25
BCOR	AC135048.13
BCOR	EED
BCOR	IL2RG
BCOR	RP11-524O1.4
BCOR	CHD1
BCOR	PHLDB2
BCOR	CERS5
BCOR	RP11-505K9.1
BCOR	AC105402.4
BCOR	VARS2
BCOR	HAUS1
BCOR	ACSM3
BCOR	CTB-66B24.1
BCOR	RP11-115C21.2
BCOR	MIR148A
BCOR	CYB5A
BCOR	CEBPD
BCOR	MIR4647
BCOR	HMGCS1
BCOR	CTD-2012K14.6
BCOR	PRKRIP1
BCOR	PLXNB2
BCOR	ZKSCAN5
BCOR	RP11-219G17.6
BCOR	ZNF329
BCOR	ADSS
BCOR	PARS2
BCOR	MAFG-AS1
BCOR	RP11-728G15.1
BCOR	CENPB
BCOR	GSS
BCOR	RP11-649A18.12
BCOR	ZDHHC18
BCOR	POU2F1
BCOR	WARS
BCOR	RP11-325K4.2
BCOR	RP11-461O14.3
BCOR	RP11-82O19.2
BCOR	MIR1303
BDP1	MIR6883
BHLHE40	RP11-104N10.2
BHLHE40	RNF41
BHLHE40	FBXO44
BHLHE40	CCDC88C
BHLHE40	CSRNP1
BHLHE40	TMEM107
BHLHE40	BCL7C
BHLHE40	GMCL1
BHLHE40	HEATR5A
BHLHE40	SH2B3
BHLHE40	CTA-292E10.8
BHLHE40	RP11-323N12.5
BHLHE40	RP11-1072A3.4
BHLHE40	GAPVD1
BHLHE40	LAMA5-AS1
BHLHE40	AC006547.8
BHLHE40	CRACR2B
BHLHE40	CXCL2
BHLHE40	RP11-893F2.6
BHLHE40	ZBTB9
BHLHE40	VAMP2
BHLHE40	STX10
BHLHE40	ACTL10
BHLHE40	RP11-697E2.6
BHLHE40	PAM16
BHLHE40	VMP1
BHLHE40	CCDC40
BHLHE40	MYBPHL
BHLHE40	MAP7D1
BHLHE40	RP11-52M17.1
BHLHE40	UQCC2
BHLHE40	RP11-20E24.1
BHLHE40	NQO2
BHLHE40	MCFD2
BHLHE40	TCP11L2
BHLHE40	ZNF318
BHLHE40	AKR7A3
BHLHE40	AC002117.1
BHLHE40	CTB-58E17.3
BHLHE40	TNFRSF12A
BHLHE40	YWHAZ
BHLHE40	SLC26A2
BHLHE40	AVPI1
BHLHE40	SPATA2
BHLHE40	RP11-681L4.1
BHLHE40	CNGA4
BHLHE40	HBA2
BHLHE40	RP1-178F15.4
BHLHE40	RP11-778D9.12
BHLHE40	ITGB4
BHLHE40	CH17-340M24.1
BHLHE40	MAP4K1
BHLHE40	GGA2
BHLHE40	CTB-58E17.1
BHLHE40	RP11-168O16.2
BHLHE40	HCN2
BHLHE40	HBA1
BHLHE40	RN7SL525P
BMI1	CTD-2616J11.15
BMI1	IFRD2
BMI1	RP11-276H7.3
BMI1	MIR181C
BMI1	IGHMBP2
BMI1	DMAP1
BMI1	RANBP1
BMI1	RP13-1032I1.11
BMI1	U47924.29
BMI1	TSSC2
BMI1	BAIAP3
BRCA1	HSPBAP1
BRCA1	GTSE1
BRCA1	CIRBP-AS1
BRCA1	RP11-322E11.6
BRCA1	PICALM
BRCA1	SHC1
BRCA1	AC006116.17
BRCA1	ZNF497
BRCA1	EIF5A
BRCA1	ZBTB41
BRCA1	HGS
BRCA1	AIDA
BRCA1	MIR4757
BRCA1	ADAM15
BRCA1	RBM10
BRCA1	CDS2
BRCA1	ZDHHC16
BRCA1	SLC34A3
BRCA1	NTN3
BRCA1	ANAPC7
BRCA1	ZBTB12
BRCA1	URGCP
BRCA1	ITFG3
BRCA1	KDM6B
BRCA1	AC010504.2
BRCA1	COASY
BRD2	RP11-758P17.3
BRD2	TUBA4A
BRD2	HIST2H2AC
BRD2	STMN3
BRD2	GGCX
BRD2	RP4-564F22.7
BRD2	ZNF460
BRD2	AC242988.1
BRD2	COMMD1
BRD2	AJUBA
BRD2	AC078864.2
BRD2	RAE1
BRD2	FLJ22184
BRD2	AL353662.3
BRD2	CTD-2036P10.3
BRD2	PTGDR2
BRD2	CTA-217C2.2
BRD2	CDC34
BRD2	KCNJ10
BRD2	RP11-977G19.11
BRD2	RP11-332H18.5
BRD2	SLC25A37
BRD2	CTC-786C10.1
BRD2	XXbac-BPG170G13.31
BRD2	RP11-545I5.3
BRD2	EGLN1P1
BRD2	HSF2BP
BRD2	LDLRAP1
BRD2	RP11-74C13.3
BRD2	FUT2
BRD2	GPR35
BRD2	GPATCH4
BRD2	MTND1P9
BRD2	PDE6A
BRD2	PCBP2-OT1
BRD2	GPX3
BRD2	RP11-326K13.4
BRD2	TELO2
BRD2	ZAR1L
BRD2	CCT6B
BRD2	USP46
BRD2	RP11-413H22.2
BRD2	CTD-2540B15.11
BRD2	RNU6-1067P
BRD2	DDX1
BRD2	RP11-553A21.3
BRD2	RP11-274J16.5
BRD2	EEF1A2
BRD2	RP11-1109F11.3
BRD2	IPP
BRD2	THUMPD2
BRD2	RN7SL812P
BRD2	ITPR3
BRD2	NOL9
BRD2	RP11-326I11.5
BRD2	APOM
BRD2	U5
BRD2	CYTH2
BRD2	RNU6-879P
BRD2	SPACA6P
BRD2	MIF
BRD2	RP11-278H7.5
BRD2	RP5-890E16.5
BRD2	DOCK9
BRD2	CNOT6L
BRD2	AC002310.12
BRD2	SLC40A1
BRD2	AP000350.5
BRD2	NEK5
BRD2	RP11-106M3.2
BRD2	HID1-AS1
BRD2	RP5-1039K5.16
BRD2	RN7SL351P
BRD2	AFAP1
BRD2	KRT8P28
BRD2	MIR6719
BRD2	RP11-373D23.3
BRD2	RP11-269G24.4
BRD2	MIR193A
BRD2	EFNA1
BRD2	LA16c-361A3.3
BRD2	RP11-458F8.1
BRD2	SLC47A2
BRD2	TPI1P2
BRD2	C7orf49
BRD2	AC007040.8
BRD2	RP11-42I10.1
BRD2	RP11-338E21.3
BRD2	DCBLD1
BRD2	C16orf72
BRD2	RP11-84A19.3
BRD2	RP11-503P10.1
BRD2	MIR6855
BRD2	UBE2R2
BRD2	IL5
BRD2	LZTS2
BRD2	DHRS4
BRD2	RP11-317P15.5
BRD2	RBBP4P2
BRD2	RP11-295G24.4
BRD2	RP11-560J1.2
BRD2	MIR3165
BRD2	ATXN1L
BRD2	AC083843.2
BRD2	SNRPD1
BRD2	DDX11
BRD2	RP11-889L3.4
BRD2	IFT88
BRD2	PPP1CB
BRD2	CWF19L1
BRD2	CTD-2184C24.2
BRD2	C12orf66
BRD2	SNORD83A
BRD2	ZNF70P1
BRD2	NOP9
BRD2	HSPA8P3
BRD2	POMK
BRD2	MIR6722
BRD2	CTC-205M6.5
BRD2	MIR3619
BRD2	LPIN3
BRD2	ABCC8
BRD2	RP11-367E12.4
BRD2	JPH4
BRD2	MRPL10
BRD2	PPP2R3C
BRD2	UNC5B-AS1
BRD2	CTCF
BRD2	RP11-184A2.2
BRD2	RP5-1136G13.2
BRD2	MRPS17
BRD2	AC124057.5
BRD3	ATF6B
BRD3	LDLRAD2
BRD3	NACC2
BRD3	LL21NC02-1C16.1
BRD3	TBC1D8
BRD3	RP11-123K3.9
BRD3	TAPBP
BRD3	MIR6513
BRD3	DNMT1
BRD3	COL9A3
BRD3	ZNF341-AS1
BRD3	ACTB
BRD3	SLC23A1
BRD3	USP36
BRD3	ERICH1-AS1
BRD3	NT5C
BRD3	NDOR1
BRD3	TSPAN3
BRD3	EMP3
BRD3	C22orf46
BRD3	TRGC2
BRD3	SSNA1
BRD4	HSPE1
BRD4	RND2
BRD4	RPS6
BRD4	AP2A2
BRD4	P2RX6
BRD4	RP11-977G19.5
BRD4	ARL2BP
BRD4	TOX
BRD4	TMEM184A
BRD4	RP1-315G1.3
BRD4	RP11-126K1.6
BRD4	TRABD2B
BRD4	NDFIP2-AS1
BRD4	SYNJ2
BRD4	ATG9A
BRD4	SLC39A5
BRD4	RP11-421M1.8
BRD4	CSNK1D
BRD4	RP11-464C19.2
BRD4	TRA2A
BRD4	RP11-245C17.2
BRD4	TEKT4P2
BRD4	CTC-534A2.2
BRD4	ST6GALNAC4
BRD4	BRCA1
BRD4	PTPN2
BRD4	ARRDC1-AS1
BRD4	NARF
BRD4	AF146191.4
BRD4	CD46
BRD4	AC107083.1
BRD4	MCL1
BRD4	RLF
BRD4	SLC22A5
BRD4	EPS15
BRD4	DBIL5P
BRD4	VAC14
BRD4	RP11-524F11.2
BRD4	VPS26B
BRD4	MIR589
BRD4	BLK
BRD4	PDE2A
BRD4	PEBP4
BRD4	EPM2AIP1
BRD4	MAP3K14
BRD4	CTD-2588C8.8
BRD4	DDIAS
BRD4	ALKBH2
BRD4	KRT12
BRD4	ELP3
BRD4	VPS35
BRD4	CYB5RL
BRD4	KCTD18
BRD4	LIME1
BRD4	RP11-381K20.2
BRD4	EML2
BRD4	VIM-AS1
BRD4	ELOVL1
BRD4	RP11-71E19.1
BRD4	FMOD
BRD4	TMEM2
BRD4	RN7SL108P
BRD4	LBHD1
BRD4	AC112518.3
BRD4	THA1P
BRD4	RP1-12G14.5
BRD4	TTC12
BRD4	KLF5
BRD4	ZNF517
BRD4	RPRD2
BRD4	FMR1-AS1
BRD4	TP73
BRD4	AC012307.2
BRD4	RP11-706C16.8
BRD4	PRRC2A
BRD4	RP11-546M21.6
BRD4	TM2D3
BRD4	SH3KBP1
BRD4	SNRNP70
BRD4	RP11-803P9.1
BRD4	ALG13
BRD4	RP11-42I10.1
BRD4	RPS6KB1
BRD4	SEC31A
BRD4	MIRLET7A2
BRD4	ASAP1
BRD4	HTRA2
BRD4	ZNF19
BRD4	PDZD2
BRD4	CTD-2175A23.1
BRD4	RAPGEF2
BRD4	CTD-2530N21.5
BRD4	CNIH1
BRD4	SEPT7P9
BRD4	GCDH
BRD4	THAP9-AS1
BRD4	MIR6867
BRD4	MBD2
BRD4	RRN3P3
BRD4	EEF1GP7
BRD4	RBFOX2
BRD4	CD59
BRD4	ZFX-AS1
BRD4	MRPL3
BRD4	HSPB9
BRD4	RP4-583P15.14
BRD4	FAM204A
BRD4	RNU6-884P
BRD4	RP11-603J24.14
BRD4	POLR3D
BRD4	HNRNPU
BRD4	POU5F1
BRD4	USP10
BRD4	MTF1
BRD4	RP11-715J22.3
BRD4	SHMT1
BRD4	ATP9B
BRD4	PFKFB4
BRD4	AP000439.1
BRD4	STK4-AS1
BRD4	TGFB3
BRD4	P4HB
BRD4	AC012360.4
BRD4	RP11-285E9.5
BRD4	RBM47
BRD4	RNF212B
BRD4	AC092171.2
BRD4	RP11-599B13.7
BRD4	RP11-54O7.18
BRD4	RPS4XP4
BRD4	RP13-131K19.6
BRD4	HIST1H4H
BRD4	DIRC3
BRD4	YWHAE
BRD4	ZNF557
BRD4	OSBPL8
BRD4	ZSCAN5A
BRD4	TRBV12-2
BRD4	DNAJC30
BRD4	TXNP5
BRD4	NDUFAF5
BRD4	MAST1
BRD4	RNF222
BRD4	RP11-344N10.5
BRD4	BAHCC1
BRD4	TMED5
BRD4	GS1-115G20.2
BRD4	RP11-128M1.1
BRD4	RP5-968P14.2
BRD4	VIM
BRD4	STX1B
BRD4	PAQR9
BRD4	RNU6-660P
BRD4	SLC37A1
BRD7	RP11-139H15.5
BRF1	RP11-599B13.6
BRF2	RP11-867G23.8
BTAF1	TRPC4AP
C10orf12	CSNK2A1
C17orf49	NAGPA
C17orf96	ASB13
CAMTA2	UPP1
CARM1	AC005808.3
CASP8AP2	RP1-34B20.4
CASZ1	HMGCS1
CBFB	IER5L
CBFB	AL590822.1
CBFB	CTD-2587H24.10
CBFB	CAPN7
CBFB	MT1XP1
CBFB	RNA5SP479
CBFB	HMGN2P10
CBFB	RN7SL549P
CBFB	LRRC16B
CBFB	SLC16A3
CBFB	DUOX1
CBFB	PLEKHF1
CBFB	PIP4K2B
CBFB	RPAP1
CBFB	FGR
CBFB	RP11-598F7.6
CBFB	KB-1254G8.1
CBFB	PTH2
CBFB	SMNDC1
CBFB	PLXNC1
CBFB	DAO
CBFB	C9orf142
CBFB	SEPT9
CBFB	PIP5KL1
CBFB	RP11-715J22.4
CBFB	FLAD1
CBFB	LYPD2
CBFB	DCST2
CBFB	ISCA2P1
CBFB	CRYBB1
CBFB	ANKRD65
CBFB	ALKBH3
CBFB	AL022341.3
CBFB	TRAK1
CBFB	DPM2
CBFB	EIF2B1
CBFB	MYADML2
CBFB	RP11-46C24.7
CBFB	LPPR2
CBFB	CTD-2528A14.5
CBFB	MIR212
CBFB	MIR6749
CBFB	BYSL
CBFB	CTD-2020K17.4
CBFB	SMARCD2
CBFB	TCF12
CBFB	MIR33B
CBFB	GABPB2
CBFB	MIR141
CBFB	CASP16
CBX2	MIR17HG
CBX3	APOC1P1
CBX3	SP140L
CBX3	CCDC88A
CBX3	ENO1-AS1
CBX3	RP11-779O18.1
CBX3	AC093323.3
CBX3	RP11-329N15.3
CBX3	RP11-325F22.2
CBX3	ACOT8
CBX3	FOXO3
CBX3	RP11-779O18.2
CBX3	BLOC1S4
CBX3	HMGB3P26
CBX3	ADAD2
CBX3	MIR190B
CBX3	B4GALT3
CBX3	AC012314.20
CBX3	TNP2
CBX3	MIR4688
CBX3	ZNF783
CBX3	RP11-655M14.12
CBX3	REXO1
CBX3	LY6G5B
CBX3	RP11-539E17.3
CBX3	ZNF219
CBX3	ARHGEF19-AS1
CBX3	CEP85
CBX3	IL1A
CBX3	ZCCHC2
CBX3	RP1-278C19.8
CBX3	IFT52
CBX3	FCHSD1
CBX3	RNU1-120P
CBX3	DTNB
CBX3	SPEF1
CBX3	U2
CBX3	TMED4
CBX3	METTL1
CBX3	C19orf67
CBX3	NACC1
CBX3	RN7SL444P
CBX3	HIGD1AP10
CBX3	CTD-2026K11.4
CBX4	NET1
CBX8	POLR2G
CBX8	METRNL
CBX8	MRPS18B
CBX8	RPS26P49
CBX8	MIR4516
CBX8	RP11-545M17.1
CBX8	MEGF6
CBX8	GKAP1
CBX8	AC108479.3
CBX8	POLL
CBX8	RAB4B-EGLN2
CBX8	PDAP1
CBX8	CCDC114
CBX8	C4orf51
CBX8	CDK5RAP3
CBX8	AC016629.3
CBX8	PCMTD2
CBX8	AC097721.2
CBX8	RNA5SP473
CBX8	CTNNBL1
CBX8	RP11-109N23.4
CBX8	MEAF6
CBX8	GTF3C4
CBX8	RP11-315O6.1
CBX8	RP11-139K1.2
CBX8	RP11-464F9.20
CBX8	RPL26
CBX8	NR0B2
CBX8	MIR3165
CBX8	CTB-58E17.5
CBX8	ERCC4
CBX8	AC008781.7
CBX8	VAMP8
CBX8	CA9
CBX8	RP11-104N10.1
CBX8	RPLP2
CBX8	RP11-1167A19.2
CBX8	PIDD1
CBX8	PISD
CBX8	DAD1
CBX8	TMEM222
CBX8	ACSS2
CBX8	LSM4
CBX8	ZNF628
CBX8	HNRNPH3
CBX8	SLC38A7
CBX8	NTMT1
CBX8	ARL2
CBX8	TUBB2B
CBX8	FOXA3
CBX8	IL17RC
CBX8	KAT2A
CBX8	TMEM134
CBX8	C22orf46
CBX8	RNU2-22P
CBX8	AL672294.1
CBX8	RP11-732A19.1
CBX8	CTD-2562J15.4
CBX8	MIR6757
CBX8	RP4-734P14.4
CBX8	RP11-84C13.2
CBX8	TUBD1
CBX8	RP13-270P17.3
CBX8	ZCCHC3
CBX8	ADPRH
CBX8	ST20
CBX8	TUBB1
CBX8	AMIGO3
CBX8	SPRYD3
CBX8	STAC3
CBX8	PKN1
CBX8	GTPBP3
CBX8	KXD1
CBX8	AL590708.1
CBX8	BCL2L2-PABPN1
CBX8	DTX4
CBX8	UNC119
CBX8	FBXO10
CBX8	CD164
CBX8	WDR1
CBX8	ENTPD7
CBX8	RNU6-1276P
CBX8	RP11-165A20.3
CBX8	STX2
CBX8	RNU6-514P
CBX8	RP11-407B7.3
CCNT2	TCP11L2
CDK2	FAM222B
CDK7	TM7SF3
CDK7	RP11-7F17.8
CDK7	AP001187.11
CDK7	KCNH2
CDK7	PSEN2
CDK7	SMG1P3
CDK7	NUDCD2
CDK7	CUEDC2
CDK7	LINC00957
CDK7	CHI3L2
CDK7	FBXL19
CDK7	RNASEH1P1
CDK7	MIR4687
CDK7	NDUFV3
CDK7	TMEM97P1
CDK8	SSFA2
CDK8	ITGB4
CDK8	RPLP0
CDK8	RP11-488C13.4
CDK8	HMGB1P8
CDK8	PRR7
CDK8	RP11-284F21.7
CDK8	ANKRD12
CDK8	RP11-462L8.1
